,Hostname,Port,Name,Status,Vlan,Duplex,Speed,Type
1,DC-CORE7-1,mgmt0,--,notconnect,routed,auto,auto,--
2,DC-CORE7-1,Ethernet4/9,*** Uplink to DC-CORE7-2 port 2/9 ***,connected,routed,full,10G,10Gbase-SR
3,DC-CORE7-1,Ethernet4/11,--,sfpAbsent,routed,auto,auto,--
4,DC-CORE7-1,Ethernet4/13,*** Routed link to DC-Dist7-2 port E2/30 ***,connected,routed,full,10G,10Gbase-SR
5,DC-CORE7-1,Ethernet4/15,*** Link to DC-EDGE7-2 e4/25 ***,connected,routed,full,10G,10Gbase-SR
6,DC-CORE7-1,Ethernet8/18,--,sfpAbsent,routed,auto,auto,--
7,DC-CORE7-1,Ethernet8/20,--,sfpAbsent,routed,auto,auto,--
8,DC-CORE7-1,Ethernet8/22,CALAX04-MOBCS-01A,connected,routed,full,10G,10Gbase-SR
9,DC-CORE7-1,Ethernet8/24,CALAX04-MOBCS-01B,connected,routed,full,10G,10Gbase-SR
10,DC-CORE7-1,Ethernet9/9,*** Uplink to TEL-N7K-1 Port 2/17 ***,connected,routed,full,10G,10Gbase-LR
11,DC-CORE7-1,Ethernet9/11,*** Uplink to Tel-Dist7-1 Eth9/13 ***,connected,routed,full,10G,10Gbase-LR
12,DC-CORE7-1,Ethernet9/13,*** Routed link to DC-Dist7-1 Port E2/32 ***,connected,routed,full,10G,10Gbase-SR
13,DC-CORE7-1,Ethernet9/15,*** Link to DC-EDGE7-1 e9/9 ***,connected,routed,full,10G,10Gbase-SR
14,DC-CORE7-1,port-channel10,--,disabled,routed,auto,auto,--
15,DC-CORE7-1,port-channel11,--,disabled,routed,auto,auto,--
16,DC-CORE7-1,loopback0,*** Management Interface on Data Center Core VDC ***,connected,routed,auto,auto,--
17,DC-CORE7-1,Vlan1,--,down,routed,auto,auto,--
