,Hostname,Port,Name,Status,Vlan,Duplex,Speed,Type
1,DC-DIST7-1,Ethernet1/1,vPC Keep-alive Ports,notconnect,routed,auto,auto,10/100/1000BaseT
2,DC-DIST7-1,Ethernet1/2,vPC Keep-alive Ports,notconnect,routed,auto,auto,10/100/1000BaseT
3,DC-DIST7-1,Ethernet1/3,DC-CORE1 L2 trunk,disabled,trunk,auto,auto,10/100/1000BaseT
4,DC-DIST7-1,Ethernet1/4,--,notconnect,500,auto,auto,10/100/1000BaseT
5,DC-DIST7-1,Ethernet1/5,CALA-MOB-VIA-CORP-FW1-1,notconnect,500,auto,auto,10/100/1000BaseT
6,DC-DIST7-1,Ethernet1/6,--,notconnect,500,auto,auto,10/100/1000BaseT
7,DC-DIST7-1,Ethernet1/7,--,connected,898,full,a-100,10/100/1000BaseT
8,DC-DIST7-1,Ethernet1/8,Firepower-1_R9-10,notconnect,500,auto,auto,10/100/1000BaseT
9,DC-DIST7-1,Ethernet1/9,***MGMT to WC CUBE Router***,notconnect,500,auto,auto,10/100/1000BaseT
10,DC-DIST7-1,Ethernet1/10,MSMBXP02,notconnect,847,auto,auto,10/100/1000BaseT
11,DC-DIST7-1,Ethernet1/12,CALAX04-DC1AS-02A_mgmt0,notconnect,500,auto,auto,10/100/1000BaseT
12,DC-DIST7-1,Ethernet1/13,CALAX04-EM1PS-01A HW MGMT,notconnect,500,auto,auto,10/100/1000BaseT
13,DC-DIST7-1,Ethernet1/14,BL-1142L,notconnect,500,auto,auto,10/100/1000BaseT
14,DC-DIST7-1,Ethernet1/15,CALAX04-EM1DS-01A MGMT-VPC-KL,notconnect,500,auto,auto,10/100/1000BaseT
15,DC-DIST7-1,Ethernet1/18,VNS 5700 Control Station 1,notconnect,850,auto,auto,10/100/1000BaseT
16,DC-DIST7-1,Ethernet1/20,VNS 5700 DM4 PASSIVE DO NOT DISCONN,suspended(no LACP PDUs),851,auto,auto,10/100/1000BaseT
17,DC-DIST7-1,Ethernet1/21,VNS 5700 DM3,channelDown,851,auto,auto,10/100/1000BaseT
18,DC-DIST7-1,Ethernet1/22,VNS 5700 DM3,channelDown,851,auto,auto,10/100/1000BaseT
19,DC-DIST7-1,Ethernet1/23,VNS 5700 DM2,channelDown,851,auto,auto,10/100/1000BaseT
20,DC-DIST7-1,Ethernet1/24,VNS 5700 DM2,channelDown,851,auto,auto,10/100/1000BaseT
21,DC-DIST7-1,Ethernet1/34,CALAX04-MOBCS-01A,notconnect,500,auto,auto,10/100/1000BaseT
22,DC-DIST7-1,Ethernet1/35,BL-582L,notconnect,500,auto,auto,10/100/1000BaseT
23,DC-DIST7-1,Ethernet1/41,CALAX04-EM1IP-03A MGMT Eth1/8,notconnect,500,auto,auto,10/100/1000BaseT
24,DC-DIST7-1,Ethernet1/42,BL-1152L(Speed/duplex should be hard coded on both sides),notconnect,trunk,full,1000,10/100/1000BaseT
25,DC-DIST7-1,Ethernet1/43,CALAX04-DC1AS-01A_mgmt0,connected,500,full,a-100,10/100/1000BaseT
26,DC-DIST7-1,Ethernet1/44,MSMBXP01,notconnect,847,auto,auto,10/100/1000BaseT
27,DC-DIST7-1,Ethernet1/45,CALAX04-EM1FW-01A-Container MGMT,notconnect,500,auto,auto,10/100/1000BaseT
28,DC-DIST7-1,Ethernet1/46,CALAX04-EM1ED-01A MGMT,notconnect,500,auto,auto,10/100/1000BaseT
29,DC-DIST7-1,Ethernet1/47,nuc-paramountlot-cm3 (Kentik),notconnect,808,auto,auto,10/100/1000BaseT
30,DC-DIST7-1,Ethernet1/48,BL-451L,notconnect,trunk,auto,auto,10/100/1000BaseT
31,DC-DIST7-1,Ethernet2/2,ql-us-laqum02-sw2,connected,trunk,full,10G,10Gbase-SR
32,DC-DIST7-1,Ethernet2/4,***DO NOT USE - Port group RSRVD***,sfpAbsent,routed,auto,auto,--
