,Hostname,Port,Name,Status,Vlan,Duplex,Speed,Type
1,DC-EDGE7-2,Ethernet1/16,--,connected,850,half,a-100,10/100/1000BaseT
2,DC-EDGE7-2,Ethernet1/17,--,connected,850,full,a-1000,10/100/1000BaseT
3,DC-EDGE7-2,Ethernet1/22,SWIFT-OUTSIDE2,notconnect,1151,auto,auto,10/100/1000BaseT
4,DC-EDGE7-2,Ethernet1/23,--,connected,850,full,a-1000,10/100/1000BaseT
5,DC-EDGE7-2,Ethernet1/25,***Marketing Leo Stream Gateway***,connected,trunk,full,a-1000,10/100/1000BaseT
6,DC-EDGE7-2,Ethernet1/26,Websense V10K port C,connected,67,full,a-100,10/100/1000BaseT
7,DC-EDGE7-2,Ethernet1/27,DC-INTERNET-VPN21 IF DMZ,notconnect,1519,auto,auto,10/100/1000BaseT
8,DC-EDGE7-2,Ethernet1/28,DC-INTERNET-VPN21 IF OUTSIDE,notconnect,85,auto,auto,10/100/1000BaseT
9,DC-EDGE7-2,Ethernet1/29,RiverbedLAN0 thru to DC-MPLS-RTR - shutdown on 10/15/19,disabled,620,full,1000,10/100/1000BaseT
10,DC-EDGE7-2,Ethernet1/30,--,notconnect,62,auto,auto,10/100/1000BaseT
11,DC-EDGE7-2,Ethernet1/31,--,notconnect,62,auto,auto,10/100/1000BaseT
12,DC-EDGE7-2,Ethernet1/32,Riverbed Primary MGMT - 10.49.1.9 (shutdown on 10/16/19),disabled,620,full,100,10/100/1000BaseT
13,DC-EDGE7-2,Ethernet1/33,Port-channel to DC-FW11-SUP,notconnect,trunk,auto,auto,10/100/1000BaseT
14,DC-EDGE7-2,Ethernet1/36,Port-channel to DC-FW11-SUP,notconnect,trunk,auto,auto,10/100/1000BaseT
15,DC-EDGE7-2,Ethernet1/37,VCS-Out,connected,87,full,100,10/100/1000BaseT
16,DC-EDGE7-2,Ethernet1/38,DC-INTERNET-VPN-CORP2 INSIDE,notconnect,1503,auto,auto,10/100/1000BaseT
17,DC-EDGE7-2,Ethernet1/39,DC-INTERNET-VPN-CORP2 OUTSIDE,notconnect,85,auto,auto,10/100/1000BaseT
18,DC-EDGE7-2,Ethernet1/40,SWIFT-DMZ,notconnect,96,auto,auto,10/100/1000BaseT
19,DC-EDGE7-2,Ethernet2/10,--,connected,trunk,full,10G,10Gbase-SR
20,DC-EDGE7-2,Ethernet2/12,--,connected,trunk,full,10G,10Gbase-SR
21,DC-EDGE7-2,Ethernet2/14,***Moved to Eth3/14 as its causing discards on Po50***,sfpAbsent,1,auto,auto,--
22,DC-EDGE7-2,Ethernet2/16,DC-EDGE7-1:Eth3/12,connected,trunk,full,10G,10Gbase-SR
23,DC-EDGE7-2,Ethernet3/1,INSIDE-CALA-MOB-PPC-CORP-FW2,connected,trunk,full,10G,10Gbase-SR
24,DC-EDGE7-2,Ethernet3/2,DMZ-CALA-MOB-PPC-CORP-FW2,connected,trunk,full,10G,10Gbase-SR
25,DC-EDGE7-2,Ethernet3/3,--,sfpAbsent,routed,auto,auto,--
26,DC-EDGE7-2,Ethernet3/4,--,sfpAbsent,routed,auto,auto,--
27,DC-EDGE7-2,Ethernet3/5,--,sfpAbsent,routed,auto,auto,--
28,DC-EDGE7-2,Ethernet3/6,--,sfpAbsent,routed,auto,auto,--
29,DC-EDGE7-2,Ethernet3/7,--,sfpAbsent,routed,auto,auto,--
30,DC-EDGE7-2,Ethernet3/8,--,sfpAbsent,routed,auto,auto,--
31,DC-EDGE7-2,Ethernet3/9,DC-AIRCTRL02_PORT01,connected,trunk,full,10G,10Gbase-SR
32,DC-EDGE7-2,Ethernet3/10,CALA-MOB-NetScaler-DMZ-8-13-2_Eth10/3,connected,trunk,full,10G,10Gbase-SR
33,DC-EDGE7-2,Ethernet3/11,DC-AIRCTRL02_PORT02,connected,trunk,full,10G,10Gbase-SR
34,DC-EDGE7-2,Ethernet3/12,CALA-MOB-NetScaler-DMZ-8-13-2_Eth10/4,connected,trunk,full,10G,10Gbase-SR
35,DC-EDGE7-2,Ethernet3/13,--,sfpAbsent,routed,auto,auto,--
36,DC-EDGE7-2,Ethernet3/14,**DESTINATION SPAN**,disabled,1,auto,auto,10Gbase-SR
37,DC-EDGE7-2,Ethernet3/15,--,sfpAbsent,routed,auto,auto,--
38,DC-EDGE7-2,Ethernet3/16,--,sfpAbsent,routed,auto,auto,--
39,DC-EDGE7-2,Ethernet3/17,DMZ-CALA-MOB-PPC-CORP-FW2,connected,trunk,full,10G,10Gbase-SR
40,DC-EDGE7-2,Ethernet3/19,--,sfpAbsent,routed,auto,auto,--
41,DC-EDGE7-2,Ethernet3/21,--,sfpAbsent,routed,auto,auto,--
42,DC-EDGE7-2,Ethernet3/23,--,sfpAbsent,routed,auto,auto,--
43,DC-EDGE7-2,Ethernet3/25,NEW Paramount DMZ WLC Data ports,connected,trunk,full,10G,10Gbase-SR
44,DC-EDGE7-2,Ethernet3/27,NEW Paramount DMZ WLC Data ports,connected,trunk,full,10G,10Gbase-SR
45,DC-EDGE7-2,Ethernet3/29,Reserved for New Paramount DMZ Wireless Controllers,sfpAbsent,routed,auto,auto,--
46,DC-EDGE7-2,Ethernet3/31,*** New link to DC-DIST7-2:Eth9/21 - moved from Eth4/31 on 9/30/21 due to oversubscribtion***,connected,trunk,full,10G,10Gbase-SR
47,DC-EDGE7-2,Ethernet4/9,*** To TEL-DIST7-1 4/16 ***,connected,trunk,full,10G,10Gbase-LR
48,DC-EDGE7-2,Ethernet4/10,*** To TEL-DIST7-2 4/16 ***,connected,trunk,full,10G,10Gbase-LR
49,DC-EDGE7-2,Ethernet4/11,Link to DC-DIST2,sfpAbsent,trunk,auto,auto,--
50,DC-EDGE7-2,Ethernet4/12,--,sfpAbsent,routed,auto,auto,--
51,DC-EDGE7-2,Ethernet4/13,F5-2 PORT 1.3 FOR REVERSE PROXY,disabled,68,auto,auto,10Gbase-SR
52,DC-EDGE7-2,Ethernet4/14,F5-2 Port 1.1,sfpAbsent,85,auto,auto,--
53,DC-EDGE7-2,Ethernet4/15,F5-2 Port 1.2,disabled,trunk,auto,auto,10Gbase-SR
54,DC-EDGE7-2,Ethernet4/16,DC-INTERNET-RTR2 TE0/1/0 INSIDE INT (not activated),sfpAbsent,trunk,auto,auto,--
55,DC-EDGE7-2,Ethernet4/25,DC-CORE7-1,connected,routed,full,10G,10Gbase-SR
56,DC-EDGE7-2,Ethernet4/26,CALAX04-EM1DS-01B Eth1/2,connected,trunk,full,10G,10Gbase-SR
57,DC-EDGE7-2,Ethernet4/27,***DO NOT USE - Port group RSRVD***,sfpAbsent,routed,auto,auto,--
58,DC-EDGE7-2,Ethernet4/28,DC-INTERNET-FW11 Te0/9 OUTSIDE/DMZ IFACE,sfpAbsent,trunk,auto,auto,--
59,DC-EDGE7-2,Ethernet4/29,--,sfpAbsent,routed,auto,auto,--
60,DC-EDGE7-2,Ethernet4/30,--,disabled,routed,auto,auto,10Gbase-SR
61,DC-EDGE7-2,Ethernet4/31,Trunk To DC-DIST7-2,sfpAbsent,trunk,auto,auto,--
62,DC-EDGE7-2,Ethernet4/32,*** To DC-FW1-SUP ***,disabled,trunk,auto,auto,10Gbase-SR
63,DC-EDGE7-2,Ethernet7/7,DC-DMZ-AIRCTRL2,sfpAbsent,trunk,auto,auto,--
64,DC-EDGE7-2,Ethernet7/8,DC-DMZ-AIRCTRL2,sfpAbsent,trunk,auto,auto,--
65,DC-EDGE7-2,Ethernet7/10,**SWIFT-VPN-B-ISP2**,connected,1171,full,a-1000,1000base-T
66,DC-EDGE7-2,Ethernet7/16,--,notconnect,850,auto,auto,1000base-T
67,DC-EDGE7-2,Ethernet7/18,--,xcvrInvalid,850,auto,auto,1000base-T
68,DC-EDGE7-2,Ethernet7/19,Maergy-Inside,sfpAbsent,84,auto,auto,--
69,DC-EDGE7-2,Ethernet7/20,Websense Proxy,connected,63,full,a-1000,1000base-T
70,DC-EDGE7-2,Ethernet7/21,Websense10k-05,notconnect,18,auto,auto,1000base-T
71,DC-EDGE7-2,Ethernet7/22,dc-internet-vpn11 outside,connected,85,full,a-1000,1000base-T
72,DC-EDGE7-2,Ethernet7/23,dc-internet-vpn11 inside,connected,81,full,a-1000,1000base-T
73,DC-EDGE7-2,Ethernet7/24,SWIFT-OUTSIDE2,connected,1151,full,a-1000,1000base-T
74,DC-EDGE7-2,Ethernet7/26,--,notconnect,850,auto,auto,1000base-T
75,DC-EDGE7-2,Ethernet7/29,***Marketing Leo Stream Gateway***,notconnect,trunk,auto,auto,1000base-T
76,DC-EDGE7-2,Ethernet7/30,Websense V10K port C,notconnect,67,auto,auto,1000base-T
77,DC-EDGE7-2,Ethernet7/31,DC-INTERNET-VPN21 IF DMZ,connected,1519,full,a-1000,1000base-T
78,DC-EDGE7-2,Ethernet7/32,DC-INTERNET-VPN21 IF OUTSIDE,connected,85,full,a-1000,1000base-T
79,DC-EDGE7-2,Ethernet7/35,VCS-Out,notconnect,87,auto,auto,1000base-T
80,DC-EDGE7-2,Ethernet7/36,DC-INTERNET-VPN-CORP2 INSIDE,connected,1503,full,a-1000,1000base-T
81,DC-EDGE7-2,Ethernet7/37,DC-INTERNET-VPN-CORP2 OUTSIDE,connected,85,full,a-1000,1000base-T
82,DC-EDGE7-2,Ethernet7/38,SWIFT-DMZ,connected,96,full,a-1000,1000base-T
83,DC-EDGE7-2,Ethernet8/10,CALAX04-EM1DS-01A Eth1/2,connected,trunk,full,10G,10Gbase-SR
84,DC-EDGE7-2,Ethernet8/12,--,disabled,routed,auto,auto,10Gbase-SR
85,DC-EDGE7-2,Ethernet8/14,DO NOT USE,sfpAbsent,routed,auto,auto,--
86,DC-EDGE7-2,Ethernet8/16,DO NOT USE,sfpAbsent,routed,auto,auto,--
87,DC-EDGE7-2,Ethernet8/17,X-Connect to CALA-MOB-NCS5501-1 Te0/0/0/23,connected,routed,full,10G,10Gbase-SR
88,DC-EDGE7-2,Ethernet8/19,--,sfpAbsent,routed,auto,auto,--
89,DC-EDGE7-2,Ethernet8/21,X-Connect to CALA-MOB-NCS5501-2 Te0/0/0/23,connected,routed,full,10G,10Gbase-SR
90,DC-EDGE7-2,Ethernet8/23,--,sfpAbsent,routed,auto,auto,--
91,DC-EDGE7-2,Ethernet8/25,DC-CORE7-2,connected,routed,full,10G,10Gbase-SR
92,DC-EDGE7-2,Ethernet8/26,DC-EDGE7-1:Eth8/26,connected,trunk,full,10G,10Gbase-SR
93,DC-EDGE7-2,Ethernet8/27,RESERVED_RATE-MODE_DEDICATED,sfpAbsent,routed,auto,auto,--
94,DC-EDGE7-2,Ethernet8/28,--,sfpAbsent,routed,auto,auto,--
95,DC-EDGE7-2,Ethernet8/29,RESERVED_RATE-MODE_DEDICATED,sfpAbsent,routed,auto,auto,--
96,DC-EDGE7-2,Ethernet8/30,--,sfpAbsent,routed,auto,auto,--
97,DC-EDGE7-2,Ethernet8/31,RESERVED_RATE-MODE_DEDICATED,sfpAbsent,routed,auto,auto,--
98,DC-EDGE7-2,Ethernet8/32,--,sfpAbsent,routed,auto,auto,--
99,DC-EDGE7-2,Ethernet10/17,***DONOT USE;PORT GROUP RESERVED FOR FW Uplink***,sfpAbsent,routed,auto,auto,--
100,DC-EDGE7-2,Ethernet10/18,FP-INSIDE:E10/18-E1/1,connected,trunk,full,10G,10Gbase-SR
101,DC-EDGE7-2,Ethernet10/19,DC-INTERNET-FW1 Te0/9 OUTSIDE/DMZ IFACE,connected,trunk,full,10G,10Gbase-SR
102,DC-EDGE7-2,Ethernet10/20,FP-OUTSIDE:E10/20:E1/5,connected,trunk,full,10G,10Gbase-SR
103,DC-EDGE7-2,Ethernet10/21,***DONOT USE;PORT GROUP RESERVED FOR FW Uplink***,sfpAbsent,routed,auto,auto,--
104,DC-EDGE7-2,Ethernet10/22,DC-INTERNET-FW11 Te0/8 INSIDE IFACE,connected,trunk,full,10G,10Gbase-SR
105,DC-EDGE7-2,Ethernet10/23,***DONOT USE;PORT GROUP RESERVED FOR FW Uplink***,sfpAbsent,routed,auto,auto,--
106,DC-EDGE7-2,Ethernet10/24,--,sfpAbsent,routed,auto,auto,--
107,DC-EDGE7-2,port-channel1,uplink to DC-FW11-SUP,noOperMembers,trunk,auto,auto,--
108,DC-EDGE7-2,port-channel3,DC-AIRCTRL2,noOperMembers,trunk,auto,auto,--
109,DC-EDGE7-2,port-channel4,DC-DMZ-AIRCTRL1,noOperMembers,trunk,auto,auto,--
110,DC-EDGE7-2,port-channel5,DC-AIRCTRL3,noOperMembers,trunk,auto,auto,--
111,DC-EDGE7-2,port-channel10,To TEL-DIST7,connected,trunk,full,10G,--
112,DC-EDGE7-2,port-channel15,***PO to Leo Stream KVM HOST***,noOperMembers,trunk,auto,auto,--
113,DC-EDGE7-2,port-channel20,INSIDE-CALA-MOB-PPC-CORP-FW2,connected,trunk,full,10G,--
114,DC-EDGE7-2,port-channel21,DMZ-CALA-MOB-PPC-CORP-FW2,connected,trunk,full,10G,--
115,DC-EDGE7-2,port-channel22,OUTSIDE-CALA-MOB-PPC-CORP-FW2,noOperMembers,trunk,auto,auto,--
116,DC-EDGE7-2,port-channel25,MOB-MARKETING-VIDEO Sw in Transfer Room,noOperMembers,990,auto,auto,--
117,DC-EDGE7-2,port-channel27,Uplink DC-DIST2,disabled,trunk,auto,auto,--
118,DC-EDGE7-2,port-channel28,SDX2,noOperMembers,trunk,auto,auto,--
119,DC-EDGE7-2,port-channel30,--,connected,trunk,full,10G,--
120,DC-EDGE7-2,port-channel40,FP-INSIDE-FW,connected,trunk,full,10G,--
121,DC-EDGE7-2,port-channel42,FP-OUTSIDE-FW,connected,trunk,full,10G,--
122,DC-EDGE7-2,port-channel50,DC-EDGE7 Port-Channel,connected,trunk,full,10G,--
123,DC-EDGE7-2,port-channel402,CALAX04-EM1DS-01AB Po402,connected,trunk,full,10G,--
124,DC-EDGE7-2,port-channel911,DC-AIRCTRL02_5520,connected,trunk,full,10G,--
125,DC-EDGE7-2,port-channel2527,NEW Paramount DMZ WLC Data ports,connected,trunk,full,10G,--
126,DC-EDGE7-2,loopback0,--,connected,routed,auto,auto,--
127,DC-EDGE7-2,Vlan1,--,down,routed,auto,auto,--
128,DC-EDGE7-2,Vlan11,P2P VLAN to DC-EDGE7-1,connected,routed,auto,auto,--
129,DC-EDGE7-2,Vlan12,DC-INTERNET-FW-PPC INSIDE,connected,routed,auto,auto,--
130,DC-EDGE7-2,Vlan13,DC-INTERNET-FW-WWTO INSIDE,connected,routed,auto,auto,--
131,DC-EDGE7-2,Vlan14,DC-INTERNET-FW-ADMIN INSIDE,connected,routed,auto,auto,--
132,DC-EDGE7-2,Vlan16,DC-INTERNET-VPN-CORP INSIDE,connected,routed,auto,auto,--
133,DC-EDGE7-2,Vlan18,Websense 10k,connected,routed,auto,auto,--
134,DC-EDGE7-2,Vlan21,PPC Remote VPN,connected,routed,auto,auto,--
135,DC-EDGE7-2,Vlan22,VIA Remote VPN,connected,routed,auto,auto,--
136,DC-EDGE7-2,Vlan61,CORPORATE WIRELESS,connected,routed,auto,auto,--
137,DC-EDGE7-2,Vlan84,LEGACY OUTSIDE,connected,routed,auto,auto,--
138,DC-EDGE7-2,Vlan201,WIRELESS MANAGEMENT,connected,routed,auto,auto,--
139,DC-EDGE7-2,Vlan413,Prisma PaloAlto VM,connected,routed,auto,auto,--
140,DC-EDGE7-2,Vlan615,CBS-INTERNAL,connected,routed,auto,auto,--
141,DC-EDGE7-2,Vlan620,--,connected,routed,auto,auto,--
142,DC-EDGE7-2,Vlan721,Animation Isilon,connected,routed,auto,auto,--
143,DC-EDGE7-2,Vlan750,CORPORATE WIRELESS-2,connected,routed,auto,auto,--
