,Hostname,Port,Name,Status,Vlan,Duplex,Speed,Type,CDP,LLDP
1,CALAX04-DC1AS-01B,mgmt0,OOB-MGMT,connected,routed,full,1000,--,"[{'local_int': 'mgmt0', 'remote_device': 'DC-DIST7-2', 'remote_int': 'Ethernet7/39', 'remote_platform': 'N7K-C7010', 'remote_capabilities': 'Router Switch IGMP Filtering Supports-STP-Dispute', 'remote_ip_cdp': '10.100.1.2'}]","[{'local_port_id': 'mgmt0', 'remote_chassis_id': '30e4.dbd9.a63e', 'remote_port_id': 'Eth7/39', 'remote_port_description': 'CALAX04-DC1AS-01B_mgmt0', 'remote_system_name': 'DC-DIST7-2', 'remote_system_description': 'Cisco NX-OS(tm) n7000, Software (n7000-s1-dk9), Version 6.2(10), RELEASE SOFTWARE Copyright (c) 2002-2013 by Cisco Systems, Inc. Compiled 10/9/2014 12:00:00', 'remote_system_capabilities': 'B, R', 'remote_enabled_capabilities': 'B, R', 'remote_mgmt_address': '30e4.dbd9.a63e', 'remote_mgmt_address_ipv6': 'not advertised', 'remote_vlan_id': '500'}]"
2,CALAX04-DC1AS-01B,Ethernet1/1,--,xcvrAbsent,routed,auto,auto,--,[],[]
3,CALAX04-DC1AS-01B,Ethernet1/2,--,xcvrAbsent,routed,auto,auto,--,[],[]
4,CALAX04-DC1AS-01B,Ethernet1/3,--,xcvrAbsent,routed,auto,auto,--,[],[]
5,CALAX04-DC1AS-01B,Ethernet1/4,--,xcvrAbsent,routed,auto,auto,--,[],[]
6,CALAX04-DC1AS-01B,Ethernet1/5,--,xcvrAbsent,routed,auto,auto,--,[],[]
7,CALAX04-DC1AS-01B,Ethernet1/6,--,xcvrAbsent,routed,auto,auto,--,[],[]
8,CALAX04-DC1AS-01B,Ethernet1/7,--,xcvrAbsent,routed,auto,auto,--,[],[]
9,CALAX04-DC1AS-01B,Ethernet1/8,--,xcvrAbsent,routed,auto,auto,--,[],[]
10,CALAX04-DC1AS-01B,Ethernet1/9,--,xcvrAbsent,routed,auto,auto,--,[],[]
11,CALAX04-DC1AS-01B,Ethernet1/10,FEX1-1,notconnect,1,auto,auto,10Gbase-SR,[],[]
12,CALAX04-DC1AS-01B,Ethernet1/11,FEX2-1,connected,1,full,10G,10Gbase-SR,[],[]
13,CALAX04-DC1AS-01B,Ethernet1/12,FEX1-2,xcvrAbsent,1,auto,auto,--,[],[]
14,CALAX04-DC1AS-01B,Ethernet1/13,FEX2-2,xcvrAbsent,1,auto,auto,--,[],[]
15,CALAX04-DC1AS-01B,Ethernet1/14,FEX1-3,xcvrAbsent,1,auto,auto,--,[],[]
16,CALAX04-DC1AS-01B,Ethernet1/15,FEX2-3,xcvrAbsent,1,auto,auto,--,[],[]
17,CALAX04-DC1AS-01B,Ethernet1/16,FEX1-4,xcvrAbsent,1,auto,auto,--,[],[]
18,CALAX04-DC1AS-01B,Ethernet1/17,FEX2-4,xcvrAbsent,1,auto,auto,--,[],[]
19,CALAX04-DC1AS-01B,Ethernet1/18,FEX-EDITORIAL-N2KE-1,xcvrAbsent,1,auto,auto,--,[],[]
20,CALAX04-DC1AS-01B,Ethernet1/19,10GFEX1-1,xcvrAbsent,1,auto,auto,--,[],[]
21,CALAX04-DC1AS-01B,Ethernet1/20,10GFEX1-2,xcvrAbsent,1,auto,auto,--,[],[]
22,CALAX04-DC1AS-01B,Ethernet1/21,--,xcvrAbsent,routed,auto,auto,--,[],[]
23,CALAX04-DC1AS-01B,Ethernet1/22,--,xcvrAbsent,routed,auto,auto,--,[],[]
24,CALAX04-DC1AS-01B,Ethernet1/23,--,xcvrAbsent,routed,auto,auto,--,[],[]
25,CALAX04-DC1AS-01B,Ethernet1/24,--,xcvrAbsent,routed,auto,auto,--,[],[]
26,CALAX04-DC1AS-01B,Ethernet1/25,--,xcvrAbsent,routed,auto,auto,--,[],[]
27,CALAX04-DC1AS-01B,Ethernet1/26,--,xcvrAbsent,routed,auto,auto,--,[],[]
28,CALAX04-DC1AS-01B,Ethernet1/27,--,xcvrAbsent,routed,auto,auto,--,[],[]
29,CALAX04-DC1AS-01B,Ethernet1/28,--,xcvrAbsent,routed,auto,auto,--,[],[]
30,CALAX04-DC1AS-01B,Ethernet1/29,--,xcvrAbsent,routed,auto,auto,--,[],[]
31,CALAX04-DC1AS-01B,Ethernet1/30,--,xcvrAbsent,routed,auto,auto,--,[],[]
32,CALAX04-DC1AS-01B,Ethernet1/31,--,xcvrAbsent,routed,auto,auto,--,[],[]
33,CALAX04-DC1AS-01B,Ethernet1/32,--,xcvrAbsent,routed,auto,auto,--,[],[]
34,CALAX04-DC1AS-01B,Ethernet1/33,--,xcvrAbsent,routed,auto,auto,--,[],[]
35,CALAX04-DC1AS-01B,Ethernet1/34,--,xcvrAbsent,routed,auto,auto,--,[],[]
36,CALAX04-DC1AS-01B,Ethernet1/35,--,xcvrAbsent,routed,auto,auto,--,[],[]
37,CALAX04-DC1AS-01B,Ethernet1/36,--,xcvrAbsent,routed,auto,auto,--,[],[]
38,CALAX04-DC1AS-01B,Ethernet1/37,--,xcvrAbsent,routed,auto,auto,--,[],[]
39,CALAX04-DC1AS-01B,Ethernet1/38,--,xcvrAbsent,routed,auto,auto,--,[],[]
40,CALAX04-DC1AS-01B,Ethernet1/39,--,xcvrAbsent,routed,auto,auto,--,[],[]
41,CALAX04-DC1AS-01B,Ethernet1/40,--,xcvrAbsent,routed,auto,auto,--,[],[]
42,CALAX04-DC1AS-01B,Ethernet1/41,--,xcvrAbsent,routed,auto,auto,--,[],[]
43,CALAX04-DC1AS-01B,Ethernet1/42,--,xcvrAbsent,routed,auto,auto,--,[],[]
44,CALAX04-DC1AS-01B,Ethernet1/43,--,xcvrAbsent,routed,auto,auto,--,[],[]
45,CALAX04-DC1AS-01B,Ethernet1/44,--,xcvrAbsent,routed,auto,auto,--,[],[]
46,CALAX04-DC1AS-01B,Ethernet1/45,--,xcvrAbsent,routed,auto,auto,--,[],[]
47,CALAX04-DC1AS-01B,Ethernet1/46,--,xcvrAbsent,routed,auto,auto,--,[],[]
48,CALAX04-DC1AS-01B,Ethernet1/47,vPC-Peerlink,connected,trunk,full,10G,10Gbase-SR,"[{'local_int': 'Ethernet1/47', 'remote_device': 'CALAX04-DC1AS-01A', 'remote_int': 'Ethernet1/47', 'remote_platform': 'N9K-C93180YC-EX', 'remote_capabilities': 'Router Switch IGMP Filtering Supports-STP-Dispute', 'remote_ip_cdp': '10.100.1.109'}]","[{'local_port_id': 'Ethernet1/47', 'remote_chassis_id': 'e069.ba89.1d76', 'remote_port_id': 'Ethernet1/47', 'remote_port_description': 'vPC-Peerlink', 'remote_system_name': 'CALAX04-DC1AS-01A.paramount.com', 'remote_system_description': 'Cisco Nexus Operating System (NX-OS) Software 10.2(6)', 'remote_system_capabilities': 'B, R', 'remote_enabled_capabilities': 'B, R', 'remote_mgmt_address': '10.100.1.109', 'remote_mgmt_address_ipv6': 'not advertised', 'remote_vlan_id': '1'}]"
49,CALAX04-DC1AS-01B,Ethernet1/48,vPC-Peerlink,connected,trunk,full,10G,10Gbase-SR,"[{'local_int': 'Ethernet1/48', 'remote_device': 'CALAX04-DC1AS-01A', 'remote_int': 'Ethernet1/48', 'remote_platform': 'N9K-C93180YC-EX', 'remote_capabilities': 'Router Switch IGMP Filtering Supports-STP-Dispute', 'remote_ip_cdp': '10.100.1.109'}]","[{'local_port_id': 'Ethernet1/48', 'remote_chassis_id': 'e069.ba89.1d77', 'remote_port_id': 'Ethernet1/48', 'remote_port_description': 'vPC-Peerlink', 'remote_system_name': 'CALAX04-DC1AS-01A.paramount.com', 'remote_system_description': 'Cisco Nexus Operating System (NX-OS) Software 10.2(6)', 'remote_system_capabilities': 'B, R', 'remote_enabled_capabilities': 'B, R', 'remote_mgmt_address': '10.100.1.109', 'remote_mgmt_address_ipv6': 'not advertised', 'remote_vlan_id': '1'}]"
50,CALAX04-DC1AS-01B,Ethernet1/49,--,xcvrAbsent,routed,auto,auto,--,[],[]
51,CALAX04-DC1AS-01B,Ethernet1/50,--,xcvrAbsent,routed,auto,auto,--,[],[]
52,CALAX04-DC1AS-01B,Ethernet1/51,--,xcvrAbsent,routed,auto,auto,--,[],[]
53,CALAX04-DC1AS-01B,Ethernet1/52,--,xcvrAbsent,routed,auto,auto,--,[],[]
54,CALAX04-DC1AS-01B,Ethernet1/53,--,xcvrAbsent,routed,auto,auto,--,[],[]
55,CALAX04-DC1AS-01B,Ethernet1/54,--,xcvrAbsent,routed,auto,auto,--,[],[]
56,CALAX04-DC1AS-01B,port-channel110,FEX1-1,noOperMembers,1,auto,auto,--,[],[]
57,CALAX04-DC1AS-01B,port-channel111,FEX2-1,connected,1,full,10G,--,[],[]
58,CALAX04-DC1AS-01B,port-channel112,FEX1-2,noOperMembers,1,auto,auto,--,[],[]
59,CALAX04-DC1AS-01B,port-channel113,FEX2-2,noOperMembers,1,auto,auto,--,[],[]
60,CALAX04-DC1AS-01B,port-channel114,FEX1-3,noOperMembers,1,auto,auto,--,[],[]
61,CALAX04-DC1AS-01B,port-channel115,FEX2-3,noOperMembers,1,auto,auto,--,[],[]
