,Hostname,Port,Name,Status,Vlan,Duplex,Speed,Type,CDP_local_int,CDP_remote_device,CDP_remote_int,CDP_remote_platform,CDP_remote_capabilities,CDP_remote_ip,LLDP_local_port_id,LLDP_remote_chassis_id,LLDP_remote_port_id,LLDP_remote_port_description,LLDP_remote_system_name,LLDP_remote_system_description,LLDP_remote_system_capabilities,LLDP_remote_system_address,LLDP_remote_vlan_id
1,DC-ACS5-2,Ethernet1/1,--,connected,trunk,full,10G,SFP-H10GB-CU5M,Ethernet1/1,DC-ACS5-1,Ethernet1/1,N5K-C5548UP,Switch IGMP Filtering Supports-STP-Dispute,10.40.10.124,--,--,--,--,--,--,--,--,--
2,DC-ACS5-2,Ethernet1/2,--,connected,trunk,full,10G,SFP-H10GB-CU5M,Ethernet1/2,DC-ACS5-1,Ethernet1/2,N5K-C5548UP,Switch IGMP Filtering Supports-STP-Dispute,10.40.10.124,--,--,--,--,--,--,--,--,--
3,DC-ACS5-2,Ethernet1/3,--,sfpAbsent,1,full,10G,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
4,DC-ACS5-2,Ethernet1/4,--,sfpAbsent,1,full,10G,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
5,DC-ACS5-2,Ethernet1/5,Uplink to N7K,connected,trunk,full,10G,10Gbase-SR,Ethernet1/5,DC-DIST7-2,Ethernet4/2,N7K-C7010,Router Switch IGMP Filtering Supports-STP-Dispute,10.40.10.131,--,--,--,--,--,--,--,--,--
6,DC-ACS5-2,Ethernet1/6,Uplink to N7K,connected,trunk,full,10G,10Gbase-SR,Ethernet1/6,DC-DIST7-2,Ethernet4/4,N7K-C7010,Router Switch IGMP Filtering Supports-STP-Dispute,10.40.10.131,--,--,--,--,--,--,--,--,--
7,DC-ACS5-2,Ethernet1/7,--,connected,trunk,full,10G,10Gbase-SR,Ethernet1/7,BLU-AGG-SW1,TenGigabitEthernet1/1/2,WS-C3750X-24S,Switch IGMP Filtering ,,--,--,--,--,--,--,--,--,--
8,DC-ACS5-2,Ethernet1/8,BMS MARATHON SUBSTATION CONN #2,notconnect,trunk,full,1000,SFP-1000BASE-LX,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
9,DC-ACS5-2,Ethernet1/9,Avere - ReelFX,connected,27,full,10G,10Gbase-SR,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
10,DC-ACS5-2,Ethernet1/10,Avere - ReelFX,connected,27,full,10G,10Gbase-SR,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
11,DC-ACS5-2,Ethernet1/11,--,connected,trunk,full,10G,10Gbase-SR,Ethernet1/11,ANI-POST-SW1,Ethernet1/49,N9K-C9348GC-F,Router Switch Supports-STP-Dispute,10.47.254.12,--,--,--,--,--,--,--,--,--
12,DC-ACS5-2,Ethernet1/12,Power House 2 - **dont remove guard root**,sfpAbsent,trunk,full,1000,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
13,DC-ACS5-2,Ethernet1/13,to FEX1-1 Cab10-1,connected,1,full,10G,Fabric Extender Transceiver,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
14,DC-ACS5-2,Ethernet1/14,to FEX1-2 Cab10-1,connected,1,full,10G,Fabric Extender Transceiver,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
15,DC-ACS5-2,Ethernet1/15,to FEX1-2 Cab10-6,connected,1,full,10G,Fabric Extender Transceiver,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
16,DC-ACS5-2,Ethernet1/16,to FEX2-2 Cab10-6,connected,1,full,10G,Fabric Extender Transceiver,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
17,DC-ACS5-2,Ethernet1/17,to FEX1-3 Cab10-8,connected,1,full,10G,Fabric Extender Transceiver,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
18,DC-ACS5-2,Ethernet1/18,to FEX2-3 Cab10-8,connected,1,full,10G,Fabric Extender Transceiver,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
19,DC-ACS5-2,Ethernet1/19,***Reserved for Pure Storage***,connected,860,full,10G,10Gbase-SR,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
20,DC-ACS5-2,Ethernet1/20,to FEX1-4 Rack 10-6,connected,1,full,10G,Fabric Extender Transceiver,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
