,Hostname,Port,Name,Status,Vlan,Duplex,Speed,Type
1,DC-ACS5-2,Ethernet1/1,--,connected,trunk,full,10G,SFP-H10GB-CU5M
2,DC-ACS5-2,Ethernet1/2,--,connected,trunk,full,10G,SFP-H10GB-CU5M
3,DC-ACS5-2,Ethernet1/3,--,sfpAbsent,1,full,10G,--
4,DC-ACS5-2,Ethernet1/4,--,sfpAbsent,1,full,10G,--
5,DC-ACS5-2,Ethernet1/5,--,disabled,1,full,10G,10Gbase-SR
6,DC-ACS5-2,Ethernet1/6,--,disabled,1,full,10G,10Gbase-SR
7,DC-ACS5-2,Ethernet1/7,--,connected,trunk,full,10G,10Gbase-SR
8,DC-ACS5-2,Ethernet1/8,BMS MARATHON SUBSTATION CONN #2,notconnect,trunk,full,1000,SFP-1000BASE-LX
9,DC-ACS5-2,Ethernet1/9,Avere - ReelFX,connected,27,full,10G,10Gbase-SR
10,DC-ACS5-2,Ethernet1/10,Avere - ReelFX,connected,27,full,10G,10Gbase-SR
11,DC-ACS5-2,Ethernet1/11,--,connected,trunk,full,10G,10Gbase-SR
12,DC-ACS5-2,Ethernet1/12,--,sfpAbsent,1,full,10G,--
13,DC-ACS5-2,Ethernet1/13,to FEX1-1 Cab10-1,disabled,1,full,10G,Fabric Extender Transceiver
14,DC-ACS5-2,Ethernet1/14,to FEX1-2 Cab10-1,disabled,1,full,10G,Fabric Extender Transceiver
15,DC-ACS5-2,Ethernet1/15,to FEX1-2 Cab10-6,connected,1,full,10G,Fabric Extender Transceiver
16,DC-ACS5-2,Ethernet1/16,to FEX2-2 Cab10-6,connected,1,full,10G,Fabric Extender Transceiver
17,DC-ACS5-2,Ethernet1/17,to FEX1-3 Cab10-8,notconnect,1,full,10G,Fabric Extender Transceiver
18,DC-ACS5-2,Ethernet1/18,to FEX2-3 Cab10-8,notconnect,1,full,10G,Fabric Extender Transceiver
19,DC-ACS5-2,Ethernet1/19,***Reserved for Pure Storage***,connected,860,full,10G,10Gbase-SR
20,DC-ACS5-2,Ethernet1/20,to FEX1-4 Rack 10-6,connected,1,full,10G,Fabric Extender Transceiver
21,DC-ACS5-2,Ethernet1/21,to FEX2-4 Rack 10-6,connected,1,full,10G,Fabric Extender Transceiver
22,DC-ACS5-2,Ethernet1/22,FEX in Editorial N2KE-1,connected,1,full,10G,10Gbase-LR
23,DC-ACS5-2,Ethernet1/23,Qumulo-connection,connected,trunk,full,10G,10Gbase-SR
24,DC-ACS5-2,Ethernet1/24,Qumulo-connection,connected,trunk,full,10G,10Gbase-SR
25,DC-ACS5-2,Ethernet1/25,--,notconnect,500,full,10G,10Gbase-LR
26,DC-ACS5-2,Ethernet1/26,--,sfpInvalid,1,full,10G,SFP-1000BASE-LX
