,Hostname,Port,Name,Status,Vlan,Duplex,Speed,Type
1,DC-DIST7-2,Ethernet1/1,L2_CALAX04-EM1DS-01A_Eth1/16,connected,trunk,full,10G,10Gbase-SR
2,DC-DIST7-2,Ethernet1/2,L2_CALAX04-EM1DS-01B_Eth1/16,connected,trunk,full,10G,10Gbase-SR
3,DC-DIST7-2,Ethernet1/3,DO NOT USE - PORTGROUP IN USE,sfpAbsent,routed,auto,auto,--
4,DC-DIST7-2,Ethernet1/4,DO NOT USE - PORTGROUP IN USE,sfpAbsent,routed,auto,auto,--
5,DC-DIST7-2,Ethernet1/5,DO NOT USE - PORTGROUP IN USE,sfpAbsent,routed,auto,auto,--
6,DC-DIST7-2,Ethernet1/6,DO NOT USE - PORTGROUP IN USE,sfpAbsent,routed,auto,auto,--
7,DC-DIST7-2,Ethernet1/7,DO NOT USE - PORTGROUP IN USE,sfpAbsent,routed,auto,auto,--
8,DC-DIST7-2,Ethernet1/8,DO NOT USE - PORTGROUP IN USE,sfpAbsent,routed,auto,auto,--
9,DC-DIST7-2,Ethernet1/9,L3_CALAX04-EM1DS-01A_Eth1/18,connected,routed,full,10G,10Gbase-SR
10,DC-DIST7-2,Ethernet1/10,L3_CALAX04-EM1DS-01B_Eth1/18,connected,routed,full,10G,10Gbase-SR
11,DC-DIST7-2,Ethernet1/11,DO NOT USE - PORTGROUP IN USE,sfpAbsent,routed,auto,auto,--
12,DC-DIST7-2,Ethernet1/12,DO NOT USE - PORTGROUP IN USE,sfpAbsent,routed,auto,auto,--
13,DC-DIST7-2,Ethernet1/13,DO NOT USE - PORTGROUP IN USE,sfpAbsent,routed,auto,auto,--
14,DC-DIST7-2,Ethernet1/14,DO NOT USE - PORTGROUP IN USE,sfpAbsent,routed,auto,auto,--
15,DC-DIST7-2,Ethernet1/15,DO NOT USE - PORTGROUP IN USE,sfpAbsent,routed,auto,auto,--
16,DC-DIST7-2,Ethernet1/16,DO NOT USE - PORTGROUP IN USE,sfpAbsent,routed,auto,auto,--
17,DC-DIST7-2,Ethernet1/17,RSVD DO NOT USE PORT-GROUP,sfpAbsent,routed,auto,auto,--
18,DC-DIST7-2,Ethernet1/18,RSVD DO NOT USE PORT-GROUP,sfpAbsent,routed,auto,auto,--
19,DC-DIST7-2,Ethernet1/19,DO NOT USE - PORTGROUP IN USE,sfpAbsent,routed,auto,auto,--
20,DC-DIST7-2,Ethernet1/20,DO NOT USE - PORTGROUP IN USE,sfpAbsent,routed,auto,auto,--
21,DC-DIST7-2,Ethernet1/21,DO NOT USE - PORTGROUP IN USE,sfpAbsent,routed,auto,auto,--
22,DC-DIST7-2,Ethernet1/22,DO NOT USE - PORTGROUP IN USE,sfpAbsent,routed,auto,auto,--
23,DC-DIST7-2,Ethernet1/23,DO NOT USE - PORTGROUP IN USE,sfpAbsent,routed,auto,auto,--
24,DC-DIST7-2,Ethernet1/24,DO NOT USE - PORTGROUP IN USE,sfpAbsent,routed,auto,auto,--
25,DC-DIST7-2,Ethernet2/1,CALAX04-EM1PE-01B,connected,routed,full,10G,10Gbase-SR
26,DC-DIST7-2,Ethernet2/2,ql-us-laqum02-sw2,connected,trunk,full,10G,10Gbase-SR
27,DC-DIST7-2,Ethernet2/3,***DO NOT USE - Port group RSRVD***,sfpAbsent,routed,auto,auto,--
28,DC-DIST7-2,Ethernet2/4,***DO NOT USE - Port group RSRVD***,sfpAbsent,routed,auto,auto,--
29,DC-DIST7-2,Ethernet2/5,***DO NOT USE - Port group RSRVD***,disabled,routed,auto,auto,10Gbase-SR
30,DC-DIST7-2,Ethernet2/6,***DO NOT USE - Port group RSRVD***,sfpAbsent,routed,auto,auto,--
31,DC-DIST7-2,Ethernet2/7,***DO NOT USE - Port group RSRVD***,sfpAbsent,routed,auto,auto,--
32,DC-DIST7-2,Ethernet2/8,***DO NOT USE - Port group RSRVD***,disabled,routed,auto,auto,10Gbase-SR
33,DC-DIST7-2,Ethernet2/17,--,sfpAbsent,routed,auto,auto,--
34,DC-DIST7-2,Ethernet2/18,us-west-1b-ucs-esx1-A,connected,trunk,full,10G,10Gbase-SR
35,DC-DIST7-2,Ethernet2/19,MARKED FOR MIGRATION PATH,connected,trunk,full,10G,10Gbase-SR
36,DC-DIST7-2,Ethernet2/20,us-west-1b-ucs-esx1-A,connected,trunk,full,10G,10Gbase-SR
37,DC-DIST7-2,Ethernet2/21,MARKED FOR MIGRATION PATH,sfpAbsent,routed,auto,auto,--
38,DC-DIST7-2,Ethernet2/22,***DO NOT USE - Port group RSRVD***,sfpAbsent,routed,auto,auto,--
39,DC-DIST7-2,Ethernet2/23,MARKED FOR MIGRATION PATH,sfpAbsent,routed,auto,auto,--
40,DC-DIST7-2,Ethernet2/24,***DO NOT USE - Port group RSRVD***,sfpAbsent,routed,auto,auto,--
41,DC-DIST7-2,Ethernet2/25,vPC Peer Link Ports to DC-Dist7-1,connected,trunk,full,10G,10Gbase-LR
42,DC-DIST7-2,Ethernet2/26,*** Connection to UCS 6120 ***,sfpAbsent,trunk,auto,auto,--
43,DC-DIST7-2,Ethernet2/27,DEDICATED ETH2/25,sfpAbsent,routed,auto,auto,--
44,DC-DIST7-2,Ethernet2/28,*** Connection to UCS 6120 ***,notconnect,trunk,auto,auto,10Gbase-SR
45,DC-DIST7-2,Ethernet2/29,DEDICATED ETH2/25,sfpAbsent,routed,auto,auto,--
46,DC-DIST7-2,Ethernet2/30,tac,connected,routed,full,10G,10Gbase-SR
47,DC-DIST7-2,Ethernet2/31,DEDICATED ETH2/25,sfpAbsent,routed,auto,auto,--
48,DC-DIST7-2,Ethernet2/32,*** Routed link to DC-Core7-2 Port E2/10 ***,connected,routed,full,10G,10Gbase-SR
49,DC-DIST7-2,Ethernet3/26,ql-us-laqum02-sw1,connected,trunk,full,10G,10Gbase-SR
50,DC-DIST7-2,Ethernet3/28,*CHG01080142: Moved to Eth2/2*,sfpAbsent,routed,auto,auto,--
51,DC-DIST7-2,Ethernet3/30,--,sfpAbsent,routed,auto,auto,--
52,DC-DIST7-2,Ethernet3/32,--,sfpAbsent,routed,auto,auto,--
53,DC-DIST7-2,Ethernet4/1,FAULTY,sfpAbsent,routed,auto,auto,--
54,DC-DIST7-2,Ethernet4/2,CALAX04-DC1AS-01A,connected,trunk,full,10G,10Gbase-SR
55,DC-DIST7-2,Ethernet4/3,FAULTY,sfpAbsent,routed,auto,auto,--
56,DC-DIST7-2,Ethernet4/4,CALAX04-DC1AS-01B,connected,trunk,full,10G,10Gbase-SR
57,DC-DIST7-2,Ethernet4/5,CALA-MOB-NetScaler-Internal-8-13-1,connected,trunk,full,10G,10Gbase-SR
58,DC-DIST7-2,Ethernet4/6,--,sfpAbsent,routed,auto,auto,--
59,DC-DIST7-2,Ethernet4/7,CALA-MOB-NetScaler-Internal-8-13-2,connected,trunk,full,10G,10Gbase-SR
60,DC-DIST7-2,Ethernet4/8,--,sfpAbsent,routed,auto,auto,--
61,DC-DIST7-2,Ethernet4/17,--,connected,trunk,full,10G,10Gbase-SR
62,DC-DIST7-2,Ethernet4/18,NO-L2-PASS DO NOT USE,sfpAbsent,682,auto,auto,--
63,DC-DIST7-2,Ethernet4/19,--,sfpAbsent,routed,auto,auto,--
64,DC-DIST7-2,Ethernet4/20,NO-L2-PASS DO NOT USE,sfpAbsent,routed,auto,auto,--
65,DC-DIST7-2,Ethernet4/21,--,sfpAbsent,routed,auto,auto,--
66,DC-DIST7-2,Ethernet4/22,NO-L2-PASS DO NOT USE,sfpAbsent,routed,auto,auto,--
67,DC-DIST7-2,Ethernet4/23,--,sfpAbsent,routed,auto,auto,--
68,DC-DIST7-2,Ethernet4/24,NO-L2-PASS DO NOT USE,sfpAbsent,routed,auto,auto,--
69,DC-DIST7-2,Ethernet7/1,vPC Keep-alive Ports,connected,routed,full,a-1000,1000base-T
70,DC-DIST7-2,Ethernet7/2,vPC Keep-alive Ports,connected,routed,full,a-1000,1000base-T
71,DC-DIST7-2,Ethernet7/3,Netscaler-DMZ-Secondary-MGMT,connected,500,full,a-1000,1000base-T
72,DC-DIST7-2,Ethernet7/4,--,connected,500,full,a-1000,1000base-T
73,DC-DIST7-2,Ethernet7/5,CALA-MOB-VIA-CORP-FW1-2 MGMT,connected,500,full,a-1000,1000base-T
74,DC-DIST7-2,Ethernet7/6,Firepower-2_R9-11,connected,500,full,a-1000,1000base-T
75,DC-DIST7-2,Ethernet7/9,CALAX04-DC1AS-02A_mgmt0,connected,500,full,a-1000,1000base-T
76,DC-DIST7-2,Ethernet7/11,CALAX04-EM1PS-01B HW MGMT,connected,trunk,full,a-1000,1000base-T
77,DC-DIST7-2,Ethernet7/12,CALAX04-EM1ED-02B MGMT,connected,trunk,full,a-1000,1000base-T
78,DC-DIST7-2,Ethernet7/13,CALAX04-EM1DS-01B MGMT-VPC-KL,connected,trunk,full,a-1000,1000base-T
79,DC-DIST7-2,Ethernet7/14,--,connected,trunk,full,a-1000,1000base-SX
80,DC-DIST7-2,Ethernet7/15,--,connected,500,full,a-1000,1000base-T
81,DC-DIST7-2,Ethernet7/17,DC-ACS5-2 MGMT,connected,routed,full,a-1000,1000base-T
82,DC-DIST7-2,Ethernet7/25,BL-452R,connected,trunk,full,a-1000,1000base-T
83,DC-DIST7-2,Ethernet7/27,downlink to MOB-PDU-MON-SW1,connected,trunk,full,a-1000,1000base-SX
84,DC-DIST7-2,Ethernet7/28,WWTO-MOB-N5K-2 (Mgmt),connected,500,full,a-1000,1000base-T
85,DC-DIST7-2,Ethernet7/33,CALAX04-MOBCS-01B,connected,500,full,a-1000,1000base-T
86,DC-DIST7-2,Ethernet7/34,CALAX04-EM1FM-03B,connected,500,full,a-1000,1000base-T
87,DC-DIST7-2,Ethernet7/39,CALAX04-DC1AS-01B_mgmt0,connected,500,full,a-1000,1000base-T
88,DC-DIST7-2,Ethernet7/40,CALAX04-EM1FW-01B-Container MGMT,connected,500,full,a-1000,1000base-T
89,DC-DIST7-2,Ethernet7/41,CALAX04-EM1ED-01B MGMT,connected,500,full,a-1000,1000base-T
90,DC-DIST7-2,Ethernet7/42,nuc-paramountlot-mob (ThousandEyes),connected,808,full,a-1000,1000base-T
91,DC-DIST7-2,Ethernet8/1,us-west-1b-ucs-mtl1 FI-A,connected,trunk,full,10G,10Gbase-SR
92,DC-DIST7-2,Ethernet8/2,us-west-1b-ucs-mtl1 FI-B,connected,trunk,full,10G,10Gbase-SR
93,DC-DIST7-2,Ethernet8/3,us-west-1b-ucs-mtl1 FI-A,connected,trunk,full,10G,10Gbase-SR
94,DC-DIST7-2,Ethernet8/4,us-west-1b-ucs-mtl1 FI-B,connected,trunk,full,10G,10Gbase-SR
95,DC-DIST7-2,Ethernet8/5,--,sfpAbsent,routed,auto,auto,--
96,DC-DIST7-2,Ethernet8/6,CALAX04-EM1PS-01B-FTD-MGMT,connected,500,full,10G,10Gbase-SR
97,DC-DIST7-2,Ethernet8/7,--,sfpAbsent,routed,auto,auto,--
98,DC-DIST7-2,Ethernet8/8,CALA-MOB-VIA-FTD-FW1-2-MGMT,connected,500,full,10G,10Gbase-SR
99,DC-DIST7-2,Ethernet8/9,CALAX04-DC1AS-02A,connected,trunk,full,10G,10Gbase-SR
100,DC-DIST7-2,Ethernet8/11,CALAX04-DC1AS-02B,connected,trunk,full,10G,10Gbase-SR
101,DC-DIST7-2,Ethernet8/13,--,sfpAbsent,routed,auto,auto,--
102,DC-DIST7-2,Ethernet8/15,--,sfpAbsent,routed,auto,auto,--
103,DC-DIST7-2,Ethernet9/1,*DO NOT USE - Port group RSRVD*,disabled,routed,auto,auto,10Gbase-SR
104,DC-DIST7-2,Ethernet9/2,*DO NOT USE - Port group RSRVD*,disabled,routed,auto,auto,10Gbase-SR
105,DC-DIST7-2,Ethernet9/3,US-WEST-1A-UCS1-B,connected,trunk,full,10G,10Gbase-SR
106,DC-DIST7-2,Ethernet9/4,TEL-N7K-1,connected,trunk,full,10G,10Gbase-LR
107,DC-DIST7-2,Ethernet9/5,*DO NOT USE - Port group RSRVD*,disabled,routed,auto,auto,10Gbase-SR
108,DC-DIST7-2,Ethernet9/6,*DO NOT USE - Port group RSRVD*,disabled,routed,auto,auto,10Gbase-SR
109,DC-DIST7-2,Ethernet9/7,us-west-1b-ucs-sap1-b,connected,trunk,full,10G,10Gbase-SR
110,DC-DIST7-2,Ethernet9/8,us-west-1b-ucs-sap1-b,connected,trunk,full,10G,10Gbase-SR
111,DC-DIST7-2,Ethernet9/10,--,sfpAbsent,routed,auto,auto,--
112,DC-DIST7-2,Ethernet9/12,MARKED FOR MIGRATION PATH,connected,trunk,full,10G,10Gbase-SR
113,DC-DIST7-2,Ethernet9/14,MARKED FOR MIGRATION PATH,sfpAbsent,routed,auto,auto,--
114,DC-DIST7-2,Ethernet9/16,MARKED FOR MIGRATION PATH,sfpAbsent,routed,auto,auto,--
115,DC-DIST7-2,Ethernet9/17,--,sfpAbsent,routed,auto,auto,--
116,DC-DIST7-2,Ethernet9/18,CALAX04-EM1DL-01A,connected,trunk,full,10G,10Gbase-SR
117,DC-DIST7-2,Ethernet9/19,*** DC-ACS5-1 - Eth 1/4 ***,connected,trunk,full,10G,10Gbase-SR
118,DC-DIST7-2,Ethernet9/20,CALAX04-EM1DL-01B,connected,trunk,full,10G,10Gbase-SR
119,DC-DIST7-2,Ethernet9/21,DC-EDGE7-2:Eth3/31,connected,trunk,full,10G,10Gbase-SR
120,DC-DIST7-2,Ethernet9/22,--,disabled,routed,auto,auto,10Gbase-SR
121,DC-DIST7-2,Ethernet9/23,To DC-SAS4 Ten1/2 2-25-14 CN,sfpAbsent,trunk,auto,auto,--
122,DC-DIST7-2,Ethernet9/24,Link to WAL-WWTO-SW1,notconnect,trunk,auto,auto,10Gbase-LR
123,DC-DIST7-2,Ethernet9/25,PARAMOUNT-ISIS,sfpAbsent,178,auto,auto,--
124,DC-DIST7-2,Ethernet9/26,UPLINK to NEW-DC-AGG-SW2,connected,trunk,full,10G,10Gbase-SR
125,DC-DIST7-2,Ethernet9/27,UCS 4-8 Link #2 (Fabric A),connected,trunk,full,10G,10Gbase-SR
126,DC-DIST7-2,Ethernet9/28,UCS 4-8 Link #2 (Fabric B),connected,trunk,full,10G,10Gbase-SR
127,DC-DIST7-2,Ethernet9/29,*** DC-ACS5-2 - Eth1/28 ***,connected,trunk,full,10G,10Gbase-SR
128,DC-DIST7-2,Ethernet9/30,UPLINK to DC-AGG-SW2,notconnect,trunk,auto,auto,10Gbase-SR
129,DC-DIST7-2,Ethernet9/31,Link to UCS14-9-A,connected,trunk,full,10G,10Gbase-SR
130,DC-DIST7-2,Ethernet9/32,Link to UCS14-9-B,connected,trunk,full,10G,10Gbase-SR
131,DC-DIST7-2,Ethernet10/1,--,connected,trunk,full,10G,10Gbase-SR
132,DC-DIST7-2,Ethernet10/2,--,connected,trunk,full,10G,10Gbase-SR
133,DC-DIST7-2,Ethernet10/3,--,connected,trunk,full,10G,10Gbase-SR
134,DC-DIST7-2,Ethernet10/4,--,connected,trunk,full,10G,10Gbase-SR
135,DC-DIST7-2,Ethernet10/5,--,connected,trunk,full,10G,10Gbase-SR
136,DC-DIST7-2,Ethernet10/6,--,sfpAbsent,routed,auto,auto,--
137,DC-DIST7-2,Ethernet10/7,--,connected,trunk,full,10G,10Gbase-SR
138,DC-DIST7-2,Ethernet10/8,--,sfpAbsent,routed,auto,auto,--
139,DC-DIST7-2,Ethernet10/9,WWTO-MOB-N5K-2_Eth1/48,connected,trunk,full,10G,10Gbase-SR
140,DC-DIST7-2,Ethernet10/10,WWTO-MOB-N5K-1_Eth1/47,connected,trunk,full,10G,10Gbase-SR
141,DC-DIST7-2,Ethernet10/11,*CHG01080344: Moved to Eth2/18*,sfpAbsent,routed,auto,auto,--
142,DC-DIST7-2,Ethernet10/12,*CHG01080344: Moved to Eth2/20*,sfpAbsent,routed,auto,auto,--
143,DC-DIST7-2,Ethernet10/13,--,connected,trunk,full,10G,10Gbase-SR
144,DC-DIST7-2,Ethernet10/14,--,connected,trunk,full,10G,10Gbase-SR
145,DC-DIST7-2,Ethernet10/15,--,connected,trunk,full,10G,10Gbase-SR
146,DC-DIST7-2,Ethernet10/16,--,connected,trunk,full,10G,10Gbase-SR
